Player,Team,Role,Goals,Shots on Target,Assists,Acc. Passes,Pass Acc %,Chances Created,Big Chances,Crosses,Dribbles,Touches,Box Touches,Final 3rd Wins
Kadidiatou Diani,OL Lyonnes,Right Winger,0.54,1.2,0.22,27.02,77.02,1.63,0.54,1.42,1.2,54.81,7.52,1.42
Alyssa Thompson,Chelsea,Left Winger,0.44,0.95,0.19,27.57,81.01,2.03,0.44,0.7,0.7,53.56,6.15,1.2
Kirsty Hanson,Aston Villa,Striker,0.64,1.5,0.05,13.01,68.84,0.86,0.21,0.32,1.18,42.08,6.26,1.12
Caroline Graham Hansen,Barcelona,Right Winger,0.69,1.38,0.69,34.11,78.08,3.31,0.69,2.76,1.79,68.43,10.96,0.76
Lauren James,Chelsea,Left Winger,0.58,1.73,0.46,46.5,86.88,3.11,0.81,2.3,1.73,78.15,4.83,1.38
Beth Mead,Manchester City,Right Winger,0.18,0.53,0.44,40.26,79.79,2.31,0.44,0.89,0.98,75.01,5.94,1.24
Lauren Hemp,Manchester City,Left Winger,0.07,0.78,0.39,25.62,77.1,3.19,0.98,2.34,1.63,60.28,6.96,1.11
Olivia Smith,Arsenal,Left Winger,0.38,0.99,0.23,20.47,78.26,1.82,0.23,0.45,1.67,49.06,8.49,0.53
Alessia Russo,Arsenal,Striker,0.64,1.77,0.29,19.8,78.56,1.57,0.34,0.25,1.18,45.54,7.57,1.03
Khadija Shaw,Manchester City,Striker,0.97,2.36,0.18,11.13,61.95,1.39,0.32,0.09,1.57,38.47,11.27,1.2
