rk,player,nation,pos,squad,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,player_id_
6,Kosovare Asllani,se SWE,"MF,FW",Lionesses,36,1989,19,16,1457,16.2,2,4,6,1,1,2,4,0,0.12,0.25,0.37,0.06,0.31,Matches,1d994521
36,Cerys Brown,eng ENG,DF,Lionesses,20,2005,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fae2b11b
45,Delphine Cascarino,fr FRA,"MF,FW",Lionesses,28,1997,5,3,292,3.2,0,1,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,Matches,9d82fe8e
58,Lucía Corrales,es ESP,"MF,DF",Lionesses,19,2005,17,12,1195,13.3,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,Matches,9cb573ce
68,Daniëlle van de Donk,nl NED,MF,Lionesses,33,1991,6,3,248,2.8,1,0,1,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches,6876815f
77,Jana Fernández,es ESP,DF,Lionesses,23,2002,22,21,1902,21.1,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,7ee6662f
82,Sanni Franssi,fi FIN,FW,Lionesses,30,1995,18,3,423,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,eb7a2b29
90,Grace Geyoro,fr FRA,MF,Lionesses,28,1997,20,16,1357,15.1,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,80fc50e5
92,Freya Godfrey,eng ENG,MF,Lionesses,20,2005,18,15,1198,13.3,6,4,10,6,0,0,2,0,0.45,0.30,0.75,0.45,0.75,Matches,36d3689e
93,Teyah Goldie,eng ENG,DF,Lionesses,21,2004,6,1,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba0058a5
94,Isobel Goodwin,eng ENG,FW,Lionesses,22,2002,22,18,1659,18.4,5,1,6,5,0,0,0,0,0.27,0.05,0.33,0.27,0.33,Matches,a13ec7c6
126,Rofiat Imuran,ng NGA,"DF,MF",Lionesses,21,2004,10,9,701,7.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95218f3f
128,Sofia Jakobsson,se SWE,"FW,MF",Lionesses,35,1990,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,27a4ff80
138,Isa Kardinaal,nl NED,DF,Lionesses,20,2005,4,3,299,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ae44ac8
144,Alanna Kennedy,au AUS,"DF,MF",Lionesses,30,1995,16,7,746,8.3,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,8252bc62
156,Saki Kumagai,jp JPN,"MF,DF",Lionesses,34,1990,19,18,1528,17.0,2,1,3,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,Matches,03622b6e
164,Elene Lete,es ESP,GK,Lionesses,23,2002,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f80fa3e9
165,Elena Linari,it ITA,DF,Lionesses,31,1994,15,15,1288,14.3,1,0,1,0,1,1,1,0,0.07,0.00,0.07,0.00,0.00,Matches,8302c1bb
166,Lotta Lindström,fi FIN,FW,Lionesses,20,2004,5,0,125,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,850525a6
219,Nikita Parris,eng ENG,"MF,FW",Lionesses,31,1994,19,15,1218,13.5,4,3,7,4,0,0,5,0,0.30,0.22,0.52,0.30,0.52,Matches,fa5faf19
222,Poppy Pattinson,eng ENG,DF,Lionesses,25,2000,13,9,734,8.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,eced0e75
228,María Pérez,es ESP,MF,Lionesses,23,2001,12,6,522,5.8,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches,b592c4bb
240,Julia Roddar,se SWE,"MF,DF",Lionesses,33,1992,20,5,682,7.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,917838ed
251,Malou Rylov,dk DEN,MF,Lionesses,22,2003,7,5,391,4.3,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,d9248446
255,Wassa Sangare,fr FRA,DF,Lionesses,19,2006,18,17,1483,16.5,0,2,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,4151e701
312,Katie Zelem,eng ENG,MF,Lionesses,29,1996,8,2,157,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,213a7877
