no,pos,nation,player
2,DF,ESP,Jana Fernández
3,DF,ENG,Poppy Pattinson
4,DF,NED,Isa Kardinaal
6,MF,ESP,María Pérez
7,DF,ESP,Lucía Corrales
8,DF,JPN,Saki Kumagai
9,FW,SWE,Kosovare Asllani
10,MF,NED,Daniëlle van de Donk
11,MF,ESP,Alexia Putellas
13,DF,ITA,Elena Linari
14,FW,ENG,Freya Godfrey
16,MF,ESP,Daniela Arques
17,FW,ENG,Nikita Parris
19,FW,GER,Nicole Anyomi
20,FW,FRA,Delphine Cascarino
21,FW,FRA,Kadidiatou Diani
23,FW,ENG,Isobel Goodwin
25,DF,NGA,Rofiat Imuran
27,GK,ENG,Mary Earps
28,GK,ENG,Sophie Hillyerd
30,MF,DEN,Malou Marcetto
33,DF,AUS,Alanna Kennedy
35,GK,ENG,Sophia Poor
44,DF,ESP,Mapi León
76,FW,SWE,Rosa Kafaji
77,GK,ESP,Elene Lete
88,MF,FRA,Grace Geyoro
97,DF,DEN,Janni Thomsen
99,DF,USA,Corinne Henson
